id,algoritmo,h_inicial,profundidade,nos_expandidos,tempo_ms,resolvido,limite
1,IDA*,16,20,188,0.00,sim,nao
2,IDA*,15,21,1334,1.64,sim,nao
3,IDA*,15,25,5245,5.98,sim,nao
4,IDA*,17,21,431,1.00,sim,nao
5,IDA*,14,22,620,1.00,sim,nao
6,IDA*,14,14,24,0.00,sim,nao
7,IDA*,12,22,1707,2.99,sim,nao
8,IDA*,15,17,57,0.00,sim,nao
9,IDA*,15,23,1025,1.81,sim,nao
10,IDA*,13,21,511,1.00,sim,nao
11,IDA*,15,25,2262,4.99,sim,nao
12,IDA*,11,19,1182,1.00,sim,nao
13,IDA*,15,19,87,0.00,sim,nao
14,IDA*,14,26,6093,7.50,sim,nao
15,IDA*,13,19,648,1.00,sim,nao
16,IDA*,20,28,15374,21.80,sim,nao
17,IDA*,12,18,223,0.00,sim,nao
18,IDA*,17,23,714,1.29,sim,nao
19,IDA*,18,26,4138,5.45,sim,nao
20,IDA*,14,24,2198,2.00,sim,nao
21,IDA*,18,22,369,1.00,sim,nao
22,IDA*,14,22,568,1.00,sim,nao
23,IDA*,9,19,663,1.18,sim,nao
24,IDA*,10,18,752,1.00,sim,nao
25,IDA*,9,17,308,1.00,sim,nao
26,IDA*,15,25,3211,5.50,sim,nao
27,IDA*,15,21,352,1.39,sim,nao
28,IDA*,17,23,1569,2.00,sim,nao
29,IDA*,13,19,414,0.00,sim,nao
30,IDA*,16,24,1656,1.96,sim,nao
31,IDA*,14,22,493,1.00,sim,nao
32,IDA*,14,20,645,1.00,sim,nao
33,IDA*,12,24,2193,3.05,sim,nao
34,IDA*,15,23,1588,1.99,sim,nao
35,IDA*,10,20,1494,2.08,sim,nao
36,IDA*,13,21,1033,1.00,sim,nao
37,IDA*,14,20,1278,1.00,sim,nao
38,IDA*,14,18,198,0.00,sim,nao
39,IDA*,18,24,1824,1.99,sim,nao
40,IDA*,15,19,143,0.00,sim,nao
41,IDA*,14,18,289,1.27,sim,nao
42,IDA*,11,19,453,1.00,sim,nao
43,IDA*,13,19,245,0.00,sim,nao
44,IDA*,14,20,316,0.00,sim,nao
45,IDA*,10,10,12,0.00,sim,nao
46,IDA*,18,26,6565,10.03,sim,nao
47,IDA*,14,24,2163,2.99,sim,nao
48,IDA*,15,17,184,0.00,sim,nao
49,IDA*,9,19,1213,1.00,sim,nao
50,IDA*,14,20,1274,2.00,sim,nao
51,IDA*,12,18,178,0.00,sim,nao
52,IDA*,11,17,302,0.00,sim,nao
53,IDA*,11,11,18,0.00,sim,nao
54,IDA*,14,18,100,1.00,sim,nao
55,IDA*,12,20,1187,1.31,sim,nao
56,IDA*,16,26,2621,2.99,sim,nao
57,IDA*,18,24,697,1.25,sim,nao
58,IDA*,16,20,72,0.00,sim,nao
59,IDA*,17,27,3544,4.99,sim,nao
60,IDA*,16,18,59,0.00,sim,nao
61,IDA*,17,21,544,0.00,sim,nao
62,IDA*,13,23,1977,5.83,sim,nao
63,IDA*,13,19,539,1.00,sim,nao
64,IDA*,18,28,7353,8.50,sim,nao
65,IDA*,14,20,449,1.00,sim,nao
66,IDA*,16,28,10392,16.36,sim,nao
67,IDA*,15,19,194,0.00,sim,nao
68,IDA*,15,23,854,1.00,sim,nao
69,IDA*,17,21,247,0.00,sim,nao
70,IDA*,14,18,182,0.00,sim,nao
71,IDA*,14,20,243,0.00,sim,nao
72,IDA*,16,28,9514,12.96,sim,nao
73,IDA*,13,21,666,0.00,sim,nao
74,IDA*,20,22,144,0.00,sim,nao
75,IDA*,17,21,73,0.00,sim,nao
76,IDA*,18,22,519,0.00,sim,nao
77,IDA*,18,24,201,0.00,sim,nao
78,IDA*,18,24,2474,3.99,sim,nao
79,IDA*,18,26,3491,4.48,sim,nao
80,IDA*,17,23,872,1.03,sim,nao
81,IDA*,15,23,626,1.51,sim,nao
82,IDA*,17,25,5206,10.49,sim,nao
83,IDA*,15,21,395,1.00,sim,nao
84,IDA*,15,23,1396,2.00,sim,nao
85,IDA*,17,25,3248,3.99,sim,nao
86,IDA*,17,23,1026,1.00,sim,nao
87,IDA*,13,25,3116,4.50,sim,nao
88,IDA*,17,25,1222,1.00,sim,nao
89,IDA*,16,26,3838,4.99,sim,nao
90,IDA*,14,24,4675,8.15,sim,nao
91,IDA*,17,25,1818,2.00,sim,nao
92,IDA*,14,22,480,1.31,sim,nao
93,IDA*,18,22,412,0.00,sim,nao
94,IDA*,14,20,588,1.00,sim,nao
95,IDA*,14,22,1106,1.00,sim,nao
96,IDA*,15,23,1270,2.00,sim,nao
97,IDA*,10,16,313,1.00,sim,nao
98,IDA*,9,11,64,0.00,sim,nao
99,IDA*,12,18,396,1.00,sim,nao
100,IDA*,19,25,2143,2.99,sim,nao
