id,algoritmo,h_inicial,profundidade,nos_expandidos,tempo_ms,resolvido,limite
1,IDA*,16,20,188,0.00,sim,nao
2,IDA*,15,21,1334,0.00,sim,nao
3,IDA*,15,25,5245,2.43,sim,nao
4,IDA*,17,21,431,0.00,sim,nao
5,IDA*,14,22,620,0.00,sim,nao
6,IDA*,14,14,24,0.00,sim,nao
7,IDA*,12,22,1707,0.00,sim,nao
8,IDA*,15,17,57,0.00,sim,nao
9,IDA*,15,23,1025,0.00,sim,nao
10,IDA*,13,21,511,0.00,sim,nao
11,IDA*,15,25,2262,1.27,sim,nao
12,IDA*,11,19,1182,0.00,sim,nao
13,IDA*,15,19,87,0.00,sim,nao
14,IDA*,14,26,6093,2.00,sim,nao
15,IDA*,13,19,648,1.00,sim,nao
16,IDA*,20,28,15374,4.99,sim,nao
17,IDA*,12,18,223,0.00,sim,nao
18,IDA*,17,23,714,1.13,sim,nao
19,IDA*,18,26,4138,0.51,sim,nao
20,IDA*,14,24,2198,0.00,sim,nao
21,IDA*,18,22,369,0.00,sim,nao
22,IDA*,14,22,568,0.00,sim,nao
23,IDA*,9,19,663,1.00,sim,nao
24,IDA*,10,18,752,0.00,sim,nao
25,IDA*,9,17,308,0.00,sim,nao
26,IDA*,15,25,3211,1.00,sim,nao
27,IDA*,15,21,352,0.00,sim,nao
28,IDA*,17,23,1569,1.02,sim,nao
29,IDA*,13,19,414,0.00,sim,nao
30,IDA*,16,24,1656,0.00,sim,nao
31,IDA*,14,22,493,1.00,sim,nao
32,IDA*,14,20,645,0.00,sim,nao
33,IDA*,12,24,2193,0.00,sim,nao
34,IDA*,15,23,1588,0.00,sim,nao
35,IDA*,10,20,1494,0.00,sim,nao
36,IDA*,13,21,1033,0.00,sim,nao
37,IDA*,14,20,1278,0.00,sim,nao
38,IDA*,14,18,198,0.00,sim,nao
39,IDA*,18,24,1824,0.00,sim,nao
40,IDA*,15,19,143,0.00,sim,nao
41,IDA*,14,18,289,0.00,sim,nao
42,IDA*,11,19,453,0.00,sim,nao
43,IDA*,13,19,245,0.00,sim,nao
44,IDA*,14,20,316,0.00,sim,nao
45,IDA*,10,10,12,0.00,sim,nao
46,IDA*,18,26,6565,1.62,sim,nao
47,IDA*,14,24,2163,1.01,sim,nao
48,IDA*,15,17,184,0.00,sim,nao
49,IDA*,9,19,1213,0.00,sim,nao
50,IDA*,14,20,1274,0.00,sim,nao
51,IDA*,12,18,178,0.00,sim,nao
52,IDA*,11,17,302,0.00,sim,nao
53,IDA*,11,11,18,0.00,sim,nao
54,IDA*,14,18,100,0.00,sim,nao
55,IDA*,12,20,1187,0.00,sim,nao
56,IDA*,16,26,2621,0.00,sim,nao
57,IDA*,18,24,697,0.00,sim,nao
58,IDA*,16,20,72,0.00,sim,nao
59,IDA*,17,27,3544,1.44,sim,nao
60,IDA*,16,18,59,0.00,sim,nao
61,IDA*,17,21,544,1.00,sim,nao
62,IDA*,13,23,1977,1.03,sim,nao
63,IDA*,13,19,539,0.00,sim,nao
64,IDA*,18,28,7353,2.10,sim,nao
65,IDA*,14,20,449,0.00,sim,nao
66,IDA*,16,28,10392,3.44,sim,nao
67,IDA*,15,19,194,0.00,sim,nao
68,IDA*,15,23,854,0.00,sim,nao
69,IDA*,17,21,247,0.00,sim,nao
70,IDA*,14,18,182,0.00,sim,nao
71,IDA*,14,20,243,0.00,sim,nao
72,IDA*,16,28,9514,4.56,sim,nao
73,IDA*,13,21,666,0.00,sim,nao
74,IDA*,20,22,144,0.00,sim,nao
75,IDA*,17,21,73,0.00,sim,nao
76,IDA*,18,22,519,1.00,sim,nao
77,IDA*,18,24,201,0.00,sim,nao
78,IDA*,18,24,2474,1.00,sim,nao
79,IDA*,18,26,3491,1.47,sim,nao
80,IDA*,17,23,872,1.00,sim,nao
81,IDA*,15,23,626,0.00,sim,nao
82,IDA*,17,25,5206,1.99,sim,nao
83,IDA*,15,21,395,0.00,sim,nao
84,IDA*,15,23,1396,0.00,sim,nao
85,IDA*,17,25,3248,1.75,sim,nao
86,IDA*,17,23,1026,0.00,sim,nao
87,IDA*,13,25,3116,1.11,sim,nao
88,IDA*,17,25,1222,1.00,sim,nao
89,IDA*,16,26,3838,1.00,sim,nao
90,IDA*,14,24,4675,1.00,sim,nao
91,IDA*,17,25,1818,1.00,sim,nao
92,IDA*,14,22,480,0.00,sim,nao
93,IDA*,18,22,412,1.02,sim,nao
94,IDA*,14,20,588,0.00,sim,nao
95,IDA*,14,22,1106,1.00,sim,nao
96,IDA*,15,23,1270,1.99,sim,nao
97,IDA*,10,16,313,0.00,sim,nao
98,IDA*,9,11,64,0.00,sim,nao
99,IDA*,12,18,396,0.00,sim,nao
100,IDA*,19,25,2143,1.00,sim,nao
